"Gettysburg Area School District","1","910","50","50"
"339","NeedGoogleMapsAPIKey","39.8301544","-77.2233901","1"
"340","NeedGoogleMapsAPIKey","39.8299558","-77.2243509","1"
"341","NeedGoogleMapsAPIKey","39.8370491","-77.2085084","1"
"342","NeedGoogleMapsAPIKey","39.8210459","-77.1939385","1"
"343","NeedGoogleMapsAPIKey","39.8317541","-77.2229452","1"
"344","NeedGoogleMapsAPIKey","39.821801","-77.1957862","1"
"345","NeedGoogleMapsAPIKey","39.8308137","-77.2259637","1"
"346","NeedGoogleMapsAPIKey","39.8312685","-77.2214078","1"
"347","NeedGoogleMapsAPIKey","39.8308116","-77.2199881","1"
"348","NeedGoogleMapsAPIKey","39.8272854","-77.2292921","1"
"349","NeedGoogleMapsAPIKey","39.8272867","-77.1923827","1"
"350","NeedGoogleMapsAPIKey","39.8371932","-77.2081263","1"
"351","NeedGoogleMapsAPIKey","39.8369391","-77.2084763","1"
"352","NeedGoogleMapsAPIKey","39.8320408","-77.2217933","1"
"353","NeedGoogleMapsAPIKey","39.8295998","-77.2268878","1"
"354","NeedGoogleMapsAPIKey","39.8364321","-77.2154853","1"
"355","NeedGoogleMapsAPIKey","39.8205883","-77.1969236","1"
"356","NeedGoogleMapsAPIKey","39.8377018","-77.1759801","1"
"357","NeedGoogleMapsAPIKey","39.8335087","-77.2221926","1"
"358","NeedGoogleMapsAPIKey","39.8220287","-77.1947082","1"
"359","NeedGoogleMapsAPIKey","39.8368507","-77.2075746","1"
"360","NeedGoogleMapsAPIKey","39.8162731","-77.1913945","1"
"361","NeedGoogleMapsAPIKey","39.8298858","-77.2280391","1"
"362","NeedGoogleMapsAPIKey","39.8296223","-77.2256741","1"
"363","NeedGoogleMapsAPIKey","39.8319605","-77.2217252","1"
"364","NeedGoogleMapsAPIKey","39.8363327","-77.2082639","1"
"365","NeedGoogleMapsAPIKey","39.8213611","-77.1950597","1"
"366","NeedGoogleMapsAPIKey","39.8321218","-77.2241637","1"
"367","NeedGoogleMapsAPIKey","39.8233255","-77.1858178","1"
"368","NeedGoogleMapsAPIKey","39.8348525","-77.180547","1"
"369","NeedGoogleMapsAPIKey","39.8171518","-77.1928374","1"
"370","NeedGoogleMapsAPIKey","39.8445289","-77.2013515","1"
"371","NeedGoogleMapsAPIKey","39.8334609","-77.2222891","1"
"372","NeedGoogleMapsAPIKey","39.8339781","-77.223534","1"
"373","NeedGoogleMapsAPIKey","39.8370062","-77.213835","1"
"374","NeedGoogleMapsAPIKey","39.8308212","-77.2244942","1"
"375","NeedGoogleMapsAPIKey","39.8312403","-77.1816356","1"
"376","NeedGoogleMapsAPIKey","39.8160821","-77.1921196","1"
"377","NeedGoogleMapsAPIKey","39.8290314","-77.1827498","1"
"378","NeedGoogleMapsAPIKey","39.8322408","-77.2219254","1"
"379","NeedGoogleMapsAPIKey","39.8348258","-77.2216775","1"
"380","NeedGoogleMapsAPIKey","39.8308161","-77.2257509","1"
"381","NeedGoogleMapsAPIKey","39.8162982","-77.1992161","1"
"382","NeedGoogleMapsAPIKey","39.8107392","-77.1964277","1"
"383","NeedGoogleMapsAPIKey","39.8198105","-77.1941811","1"
"384","NeedGoogleMapsAPIKey","39.8295722","-77.2227812","1"
"385","NeedGoogleMapsAPIKey","39.8239044","-77.194353","1"
"386","NeedGoogleMapsAPIKey","39.8102483","-77.1975188","1"
"387","NeedGoogleMapsAPIKey","39.829918","-77.2253312","1"
"388","NeedGoogleMapsAPIKey","39.8452248","-77.214999","1"
"389","NeedGoogleMapsAPIKey","39.836312","-77.230252","1"
"390","NeedGoogleMapsAPIKey","39.8590878","-77.2337865","1"
"391","NeedGoogleMapsAPIKey","39.8310978","-77.2274341","1"
